Name,SKU,Description,Quantity,Price,Weight
Divi Engine String Bag (Big Logo),XYZ12345,This fashionable string bag is made of 100% cotton. It is the perfect size for carrying your everyday essentials.,1,19.99,20
Divi Engine String Bag (Small Logos),XYZ12735,This fashionable string bag is made of 100% cotton. It is the perfect size for carrying your everyday essentials.,1,19.99,10
Brand Buttons,XYZ12315,"Represent your favorite CMS, eCommerce Platform, Website Builder, or Plugin Company in style with a cool pin.",1,55,5
Brand Buttons - Divi,XYZ12320,,9,9.99,10
Brand Buttons - Divi Engine,XYZ12302,,7,9.99,10
Brand Buttons - WooCommerce,XYZ12391,,10,9.99,5
Brand Buttons - WordPress,XYZ12369,,12,9.99,15
Lanyard,XYZ12349,Stop losing your important access keys with a lanyard that is ALMOST as reliable as Divi Engine plugins!,4,9.99,10
Divi Engine Tee,XYZ22345,This comfortable cotton t-shirt that features the Divi Engine logo on the front is perfect for any occasion. The shirt is available in three colors.,8,88,35
"Divi Engine Tee - Blue, Large",XYZ00345,,3,14.99,10
"Divi Engine Tee - White, Large",XYZ15745,,7,14.99,25
"Divi Engine Tee - Yellow, Large",XYZ12317,,4,14.99,10
"Divi Engine Tee - Blue, Medium",XYZ12333,,1,14.99,100
"Divi Engine Tee - White, Medium",XYZ12434,,2,14.99,105
"Divi Engine Tee - Yellow, Medium",XYZ12123,,2,14.99,205
"Divi Engine Tee - Blue, Small",XYZ12390,,6,14.99,55
"Divi Engine Tee - White, Small",XYZ12388,,5,14.99,10